Caltech Behavior Annotator - Annotation File

Configuration file:
other	o
attack	a
approach	b
chasing	c
dig	d
escape	e
general-sniffing	f
sniff_female	p
sniff_face	w
selfgrooming	g
socialgrooming	h
defend	i
exploreobj	j
climb	k
follow	l
mount	m
biteobj	n
flinch	r
stand	s
punch	t
threaten	u
follow_female	v
human_interfere	x
tussling	y

S1:	start	end	type
   	12095	12120	punch
   	12121	12129	other
   	12130	12153	escape
   	12154	12197	other
   	12198	12252	selfgrooming
   	12253	12280	other
   	12281	12314	approach
   	12315	12324	general-sniffing
   	12325	12503	other
   	12504	12549	defend
   	12550	12662	other
   	12663	12676	follow_female
   	12677	12696	sniff_female
   	12697	12892	other
   	12893	12937	approach
   	12938	12947	sniff_face
   	12948	12959	approach
   	12960	13397	other
   	13398	13411	follow_female
   	13412	13424	sniff_female
   	13425	13453	other
   	13454	13497	follow_female
   	13498	13536	sniff_female
   	13537	13842	other
   	13843	13902	follow_female
   	13903	13938	sniff_female
   	13939	13978	other
   	13979	13992	approach
   	13993	13998	general-sniffing
   	13999	14037	other
   	14038	14106	sniff_female
   	14107	14149	other
   	14150	14162	flinch
   	14163	14211	other
   	14212	14220	punch
   	14221	14232	other
   	14233	14237	general-sniffing
   	14238	14243	other
   	14244	14266	follow_female
   	14267	14297	sniff_female
   	14298	14301	other
   	14302	14331	general-sniffing
   	14332	14495	other
   	14496	14501	punch
   	14502	14513	escape
   	14514	14531	sniff_female
   	14532	14633	other
   	14634	14640	punch
   	14641	14772	other
   	14773	14811	approach
   	14812	14837	punch
   	14838	14870	chasing
   	14871	14884	general-sniffing
   	14885	14896	other
   	14897	14918	follow_female
   	14919	14946	sniff_female
   	14947	14965	other
   	14966	14975	sniff_female
   	14976	15072	other
   	15073	15088	punch
   	15089	15103	escape
   	15104	15574	other
   	15575	15585	sniff_face
   	15586	15596	punch
   	15597	15616	other
   	15617	15688	sniff_female
   	15689	15759	other
   	15760	15787	follow_female
   	15788	15821	sniff_female
   	15822	15993	other
   	15994	16061	punch
   	16062	16082	escape
   	16083	16115	other
   	16116	16164	sniff_female
   	16165	16226	other
   	16227	16262	approach
   	16263	16273	punch
   	16274	16290	escape
   	16291	16302	other
   	16303	16358	sniff_female
   	16359	16382	other
   	16383	16394	sniff_female
   	16395	16592	other
   	16593	16691	approach
   	16692	16701	punch
   	16702	16813	other
   	16814	16839	approach
   	16840	16845	general-sniffing
   	16846	16938	other
   	16939	16977	escape
   	16978	18027	other
   	18028	18031	sniff_female
   	18032	18378	other
   	18379	18383	sniff_female
   	18384	18441	other
   	18442	18456	punch
   	18457	18641	other
   	18642	18847	selfgrooming
   	18848	18920	other
   	18921	18982	selfgrooming
   	18983	20002	other
   	20003	20018	approach
   	20019	20043	punch
   	20044	20055	escape
   	20056	20165	other
   	20166	20182	sniff_female
   	20183	20233	other
   	20234	20302	follow_female
   	20303	20322	sniff_female
   	20323	20487	other
   	20488	20496	sniff_female
   	20497	20577	other
   	20578	20617	general-sniffing
   	20618	20637	punch
   	20638	20653	chasing
   	20654	20684	punch
   	20685	20876	other
   	20877	20880	sniff_female
   	20881	21173	other
   	21174	21186	sniff_female
   	21187	21223	other
   	21224	21232	sniff_face
