Caltech Behavior Annotator - Annotation File

Configuration file:
other o
attack a
approach b
chasing c
dig d
escape e
general-sniffing f
sniff_genital p
sniff_face w
selfgrooming g
socialgrooming h
defend i
exploreobj j
climb k
follow l
mount m
biteobj n
flinch r
stand s
punch t
threaten u
interaction v
human_interfere x
tussling y

S1: start    end     type
   30375   30379    other
   30380   30433    dig
   30434   30482    other
   30483   30504    dig
   30505   30508    other
   30509   30535    approach
   30536   30547    other
   30548   30569    human_interfere
   30570   30585    other
   30586   30633    dig
   30634   30701    other
   30702   30735    dig
   30736   30768    stand
   30769   30855    other
   30856   30913    dig
   30914   30925    other
   30926   30965    dig
   30966   30985    other
   30986   31023    dig
   31024   31044    other
   31045   31067    stand
   31068   31145    other
   31146   31167    dig
   31168   31252    other
   31253   31286    stand
   31287   31355    other
   31356   31451    stand
   31452   31463    other
   31464   31812    stand
   31813   31839    other
   31840   31895    stand
   31896   32251    other
   32252   32295    stand
   32296   32551    other
   32552   32633    stand
   32634   32650    other
   32651   32797    stand
   32798   32849    other
   32850   32900    stand
   32901   33001    other
   33002   33192    selfgrooming
   33193   33318    stand
   33319   33831    other
   33832   34042    stand
   34043   34078    other
   34079   34174    stand
   34175   34586    other
   34587   34682    stand
   34683   34757    other
   34758   34813    stand
   34814   34932    other
   34933   34987    stand
   34988   34990    other
   34991   35019    approach
   35020   35105    other
   35106   35143    climb
   35144   35183    other
   35184   35248    stand
   35249   35271    other

S2: start    end     type
-----------------------------
       1     305    human_interfere
     306     448    other
     449     459    general-sniffing
     460     701    other
     702     720    approach
     721     723    sniff_face
     724     855    other
     856     883    approach
     884    1055    other
    1056    1064    sniff_face
    1065    1097    other
    1098    1105    sniff_face
    1106    1135    other
    1136    1151    approach
    1152    1157    general-sniffing
    1158    1169    sniff_face
    1170    1224    other
    1225    1253    stand
    1254    1261    other
    1262    1293    climb
    1294    1298    other
    1299    1305    sniff_face
    1306    1345    other
    1346    1368    climb
    1369    1451    other
    1452    1457    sniff_face
    1458    1497    other
    1498    1525    stand
    1526    1553    other
    1554    1580    stand
    1581    1595    other
    1596    1619    climb
    1620    1660    other
    1661    1782    sniff_face
    1783    1816    other
    1817    1833    stand
    1834    1858    other
    1859    1910    approach
    1911    1971    other
    1972    2011    climb
    2012    2115    other
    2116    2125    general-sniffing
    2126    2172    other
    2173    2181    sniff_face
    2182    2198    other
    2199    2207    flinch
    2208    2214    defend
    2215    2240    escape
    2241    2246    defend
    2247    2260    escape
    2261    2263    other
    2264    2279    escape
    2280    2295    other
    2296    2311    defend
    2312    2318    flinch
    2319    2327    defend
    2328    2336    flinch
    2337    2342    selfgrooming
    2343    2359    other
    2360    2370    selfgrooming
    2371    2441    other
    2442    2459    stand
    2460    2476    other
    2477    2494    escape
    2495    2540    other
    2541    2570    dig
    2571    2573    other
    2574    2593    stand
    2594    2619    other
    2620    2635    stand
    2636    2663    other
    2664    2774    climb
